text,label,make,model,modelYear,crash,fire,numberOfInjuries,numberOfDeaths,n_words
vehicle has 1 5 l turbo engine and gas is diluting the engine oil level has risen 10 mm above the last oil change level done 4/19/18 after 5070 miles some owners have reported this to nhtsa as a vehicle stalling problem which i believe is a safety issue this has not happen to us but i am concerned that it could i reported it to my local honda service at ganley honda of n olmsted oh they seemed to be unaware of this potential problem even though consumers reports did an extensive article on the 1 5 l oil dilution problem,ENGINE,honda,CR-V,2017,False,False,0,0,102
the contact owns a 2017 ford escape the contact stated that while driving approximately 65 mph the engine overheated there were no warning lights illuminated the local dealer was not contacted the vehicle was not diagnosed or repaired the manufacturer was contacted and referred the contact to the nhtsa hotline for assistance the failure mileage was approximately 116 766,ENGINE,ford,ESCAPE,2017,False,False,0,0,59
we bought our car in october 2016 during our transition from new york to georgia our engine failed on us my husband and i took it to a kia autobody shop in greenville south carolina they fixed it free of charge due to a recall on our specific year make and model of our car we then proceeded as usual taking care of it getting the standard oil change and check ups there were no signs or warnings for what would happen four months after on july 10 2018 at 2 45 pm my husband was driving on the expressway i20 e heading home the car started shaking my husband pulled over there was black smoke coming out of the car he turned the car off and stepped out a few seconds after our car exploded on him counting our blessings that he nor i and our three kids were not in the car we reported to kia that same day we are currently waiting to hear back from some one,ENGINE,kia,SORENTO,2014,False,True,0,0,171
i was driving down the hwy doing 75mph herd a loud bang and vehical lost all power was passing an exit right at the moment this happened and immediately pulled out and was able to coast to a stop the exhaust smoked for a while and it left a huge puddle of what looked like motor oil where it stoped and never started back up again ended up having to have it towed to a dealership where im told it threw a rod and being as how there is already a recall on this engine for possible cracks im thinking this model probably need to be added to the recall list the car has been sitting at the dealership where the tow truck left it there is a recall involving the possibility that cracks could form in the engine leading to coolant or oil leaks and stalling overheating or engine fires if i hadnt had both my hands on the wheel i could have lost control and killed myself or worst off if there had been cars around me i could have caused a fatal accident in this case the problem cant be reproduced as the engine is ruined but would be happy to offer to have it inspected i have kept up with all the manufacturers maintenance request and there were no signs of a problem prior,ENGINE,toyota,RAV4,2020,False,False,0,0,228
car has only 73k miles fails to accelerate unless it s left to run for an hr all lights on dash replaced spark plugs coils and battery to no avail and took to get diagnosed and was told head gasket and quoted 7k to fix when car does drive it immediately accelerates to 40 on dash which could cause collision leaving me to feel unsafe to drive,ENGINE,honda,ACCORD,2020,False,False,0,0,67
the contact owns a 2017 ford explorer the contact stated that while the vehicle was in for routine maintenance the mechanic discovered an oil leak coming from one of the turbochargers the contact later discovered oil leaking on the floor of the garage the vehicle was taken to the local dealer and the contact was informed that the turbocharger and turbocharger oil lines needed to be replaced the vehicle was not yet repaired the manufacturer was notified of the failure but no assistance was offered the contact was informed that the vin was not included in nhtsa campaign number 16v925000 engine and engine cooling the contact stated that the vehicle had experienced the failure listed in the recall the failure mileage was 54 966,ENGINE,ford,EXPLORER,2017,False,False,0,0,124
when i am driving my car and stop at a stop light sometimes the car will fail to start up it goes into neutral and then will take at least a minute to restart which is very dangerous its something with the start/stop feature and i had this problem two years ago and after many times dropping off my car at the honda dealership and them telling me nothing is wrong with the car i finally said there had been a service bulletin on the start/stop system and they finally fixed it now two years later the same thing is happening it is very dangerous as it happened when i was at a stop light getting off the highway and a car was coming from the highway and it took a couple minutes to restart and i almost got hit honda refuses address the issue and says there is nothing wrong in fact they told me i needed to replace the mechanism with the park neutral drive which i did for 1100 and then picked it up and the same thing happened again then they said it was the battery which was less than a year old so i replaced that and again same problem this happens at least twice a week this is dangerous,ENGINE,honda,PILOT,2020,False,False,0,0,215
we were driving on the highway when we noticed the temperature gauge going up we stopped at a shop and got it looked at and they replaced the thermostat and flushed the radiator on the highway on the way home we noticed the temperature gauge going back up and pulled over we had it towed home we again made the repairs and then took it to the kia dealership for them to look it over and have any necessary repairs done and paid by the warranty we have on the sorrento the dealership hooked up the vehicle to check the free stream data fault codes but non were present our sorrento got hot enough to warp the engine heads and require a new engine but never once did it trip a code/warning light on the dash if it hadn t been for us noticing the temperature gauge going up we would have had no warning that our car was overheated to the point the radiator boiled over and warped the engine heads why wasn t any warning light such as check engine light or anything signaled to come on,ENGINE,kia,SORENTO,2014,False,False,0,0,189
new vehicle on dealer lot engine diesel would not start remotely and engine light came on when the engine was started manually,ENGINE,chevrolet,SILVERADO 3500,2020,False,False,0,0,22
the contact owns a 2014 ford escape the contact stated while driving at 45 mph the low coolant warning light was illuminated the contact then pulled into a gas station and turned off the vehicle the message high engine temperature stop safely was displayed the contact stated that her husband who was following her at the time also pulled into the gas station and opened the hood of the vehicle the contact s husband saw flames coming from the engine compartment the contact was able to extinguish the fire by pouring soda on the flames there were no injuries sustained the vehicle was then towed to the dealer the vehicle was not diagnosed or repaired the contact referenced nhtsa campaign number 17v209000 engine and engine cooling the manufacturer was notified of the failure and a case was opened the manufacturer advised the contact to follow up on the case the failure mileage was approximately 111 344,ENGINE,ford,ESCAPE,2014,False,True,0,0,156
the contact owns a 2017 ford escape the contact stated that while operating the vehicle the check engine warning light remained illuminated the vehicle was taken to the local dealer who diagnosed the vehicle and determined that there was coolant intrusion into the engine the contact was informed that the engine needed to be replaced the vehicle was not repaired the manufacturer was notified of the failure but no assistance was provided the failure mileage was 87 000,ENGINE,ford,ESCAPE,2017,False,False,0,0,78
head gasket blown without prior warning and rapid engine oil consumption car will power down in the middle of hight speed traffic potentially causing an accident car less than 7year old,ENGINE,hyundai,SANTA FE,2017,False,False,0,0,31
the engine has been burning oil very quickly we had an oil change and around 5 000 miles later there was zero oil left in the car - the oil light came on then it was fine until the next oil change then less than 3 000 miles later the same thing happened added 4 quarts of oil to it and about a month later it was low again and the oil was very dark,ENGINE,kia,SORENTO,2014,False,False,0,0,75
the contact owns a 2014 jeep cherokee while driving the check engine warning indicator illuminated the contact coasted the vehicle to the side of the road and called an independent mechanic to come to the scene the mechanic located failure code number p1d73 active grill shutter the independent mechanic lifted the hood and noticed that two plastic pieces of grill shutter were detached the vehicle was not taken to a dealer and was not repaired the manufacturer was notified of the failure and referred the contact to nhtsa the approximate failure mileage was 512 000,ENGINE,jeep,CHEROKEE,2014,False,False,0,0,95
the contact owned a 2017 chevrolet silverado 2500 while the vehicle was parked in the driveway the vehicle s alarm sounded when the contact arrived downstairs the engine compartment was on fire the fire department extinguished the fire a police report was filed the vehicle was towed to a private lot by the insurance company the contact also received a recall notification after the fire for nhtsa campaign number 19v328000 engine the vehicle was destroyed the vehicle was not taken to the dealer for diagnostic testing the manufacturer was notified of the failure the vehicle was not repaired the approximate failure mileage was 9 000,ENGINE,chevrolet,SILVERADO 2500,2017,False,True,0,0,105
the coolant bypass valve failed if this was not repaired it could have resulted in leaking coolant which would eventually cause engine failure the issue started with a message on the dash stating there was engine maintenance required on 6/28/2023 i took my vehicle to my service provider the next day 06/29/2023 the dealer service tech knew exactly what the issue was before diagnostics because they had 4 rav4 s come in that week with this same issue the bypass valve was replaced on this visit and i paid for the job i have since seen many posts online with this same failure on 2019 and 2020 rav4 models it appears toyota had a recall for this in 2020 for hybrid rav4 s and some non hybrid rav4 s but apparently my vehicle and many others were not included in this recall this recall needs to be extended for the other vehicles like mine that are currently being affected by this faulty part,ENGINE,toyota,RAV4,2020,False,False,0,0,163
the contact s daughter owns a 2017 ford escape the contact stated that while performing an oil change on the vehicle the contact noticed that the coolant level was abnormally low the vehicle was taken to the local dealer where it was diagnosed that there was coolant intrusion into the cylinder the dealer determined that the short block needed to be replaced the vehicle was repaired but the failure recurred the contact stated that the dealer had mis-diagnosed the vehicle the check engine warning light was illuminated the following day the vehicle was taken back to the local dealer where it was diagnosed and determined that the intercooler and the cylinder head had failed the vehicle was repaired the manufacturer was contacted and assisted in covering the cost of the repair the approximate failure mileage was 74 035,ENGINE,ford,ESCAPE,2017,False,False,0,0,138
the contact owns a 2014 ford escape the contact stated that the motor block cracked dewey ford 3055 se delaware ave ankeny ia 50021 515 963-9575 confirmed that the motor block was cracked and admitted that the 1 6 liter motors have had many issues with the blocks cracking the manufacturer stated that there was no recall therefore they could not assist with the repairs the manufacturer referred the contact to nhtsa the failure mileage was 80 000 the vin was unknown,ENGINE,ford,ESCAPE,2014,False,False,0,0,82
mu 2014 ford fusion titanium hesitates to start back up after fueling and needs to be repeated multiple times pumping the gas pedal for a few tries before it eventually stabilizes accompanied by a very intense odor of exhaust final verdict emissions purge valve assembly failure,ENGINE,ford,FUSION,2014,False,False,0,0,46
on february 13th while driving from a restaurant to our residence with our children the vehicle experienced a complete shutdown accompanied by an engine failure alert this incident posed a significant safety risk to both myself and my children necessitating that we push the vehicle to a safe location subsequently the vehicle was towed to a kia dealership for diagnostic evaluation it was determined that kia had previously misdiagnosed the issues with the kia sorento and it was confirmed that the engine required replacement after several tests prior to this incident the engine exhibited symptoms of excessive oil consumption and irregular jerking despite multiple visits to the kia service center we consistently received inaccurate diagnoses most recently the vehicle ceased operation once again and i have been informed that the engine wiring harness is compromised however kia has declined to acknowledge responsibility for this issue kia has been the subject of prior reports regarding engine failures and refrains to replace the engine or the harness,ENGINE,kia,SORENTO,2017,False,False,0,0,165
